experiment_id,timestamp,host,in_num,in_unit,out_num,out_unit,in_pac_num,in_pac_unit,out_pac_num,out_pac_unit
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,total,0.09,Mb/s,0.17,Mb/s,52.0,p/s,143.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,ens4,0.08,Mb/s,0.11,Mb/s,39.0,p/s,62.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth1,0.00,Mb/s,0.01,Mb/s,3.0,p/s,15.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth2,0.00,Mb/s,0.01,Mb/s,2.0,p/s,12.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth3,0.00,Mb/s,0.01,Mb/s,3.0,p/s,11.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth4,0.00,Mb/s,0.01,Mb/s,1.0,p/s,13.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth5,0.00,Mb/s,0.01,Mb/s,3.0,p/s,14.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366403,s1-eth6,0.00,Mb/s,0.01,Mb/s,1.0,p/s,16.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,total,0.01,Mb/s,0.10,Mb/s,19.0,p/s,106.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,ens4,0.01,Mb/s,0.01,Mb/s,7.0,p/s,10.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,ovs-system,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1,0.00,Mb/s,0.00,Mb/s,0.0,p/s,0.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth1,0.00,Mb/s,0.01,Mb/s,1.0,p/s,15.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth2,0.00,Mb/s,0.01,Mb/s,3.0,p/s,15.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth3,0.00,Mb/s,0.02,Mb/s,1.0,p/s,19.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth4,0.00,Mb/s,0.01,Mb/s,3.0,p/s,16.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth5,0.00,Mb/s,0.01,Mb/s,1.0,p/s,16.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366404,s1-eth6,0.00,Mb/s,0.01,Mb/s,3.0,p/s,15.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366405,total,0.01,Mb/s,0.03,Mb/s,17.0,p/s,27.0,p/s
2022-03-27-07-33-22_copa_3hosts_dealy=10ms_loss=0_bw=10_duration=30,1648366405,ens4,0.01,Mb/s,0.01,Mb/s,17.0,p/s,19.0,p/s
